iata,name,city,lat,lon
LOT,Lewis University Airport,Lockport,41.6073,-88.0962
LOU,Bowman Field,Louisville,38.228,-85.6637
LOZ,London-Corbin Airport/Magee Field,London,37.0822,-84.0849
LPC,Lompoc Airport,Lompoc,34.6656,-120.468
LPS,Lopez Island Airport,Lopez,48.4839,-122.938
LRD,Laredo International Airport,Laredo,27.5438,-99.4616
LRF,Little Rock Air Force Base,Jacksonville,34.9169,-92.1497
LRU,Las Cruces International Airport,Las Cruces,32.2894,-106.922
LSE,La Crosse Municipal Airport,La Crosse,43.879,-91.2567
LSF,Lawson Army Air Field (Fort Benning),Fort Benning,32.3373,-84.9913
LSV,Nellis Air Force Base,Las Vegas,36.2362,-115.034
LTS,Altus Air Force Base,Altus,34.6671,-99.2667
LUF,Luke Air Force Base,Phoenix,33.535,-112.383
LUK,Cincinnati Municipal Airport Lunken Field,Cincinnati,39.1033,-84.4186
LUP,Kalaupapa Airport,Molokai,21.211,-156.974
LUR,Cape Lisburne LRRS Airport,Cape Lisburne,68.8751,-166.11
LVK,Livermore Municipal Airport,Livermore,37.6934,-121.82
LVM,Mission Field,Livingston-Montana,45.6994,-110.448
LVS,Las Vegas Municipal Airport,Las Vegas,35.6542,-105.142
LWB,Greenbrier Valley Airport,Lewisburg,37.8583,-80.3995
LWC,Lawrence Municipal Airport,Lawrence,39.0112,-95.2166
LWM,Lawrence Municipal Airport,Lawrence,42.7172,-71.1234
LWS,Lewiston Nez Perce County Airport,Lewiston,46.3745,-117.015
LWT,Lewistown Municipal Airport,Lewistown,47.0493,-109.467
LXN,Jim Kelly Field,Lexington,40.791,-99.7773
LYH,Lynchburg Regional Preston Glenn Field,Lynchburg,37.3267,-79.2004
LYU,Ely Municipal Airport,Ely,47.8245,-91.8307
LZU,Gwinnett County Briscoe Field,Lawrenceville,33.9781,-83.9624
MAE,Madera Municipal Airport,Madera,36.9886,-120.112
MAF,Midland International Airport,Midland,31.9425,-102.202
MBG,Mobridge Municipal Airport,Mobridge,45.5465,-100.408
MBL,Manistee Co Blacker Airport,Manistee,44.2724,-86.2469
MBS,MBS International Airport,Saginaw,43.5329,-84.0796
MCB,Mc Comb/Pike County Airport/John E Lewis Field,Mc Comb,31.1785,-90.4719
MCC,Mc Clellan Airfield,Sacramento,38.6676,-121.401
MCE,Merced Regional Macready Field,Merced,37.2847,-120.514
MCF,Mac Dill Air Force Base,Tampa,27.8493,-82.5212
MCG,McGrath Airport,Mcgrath,62.9529,-155.606
MCI,Kansas City International Airport,Kansas City,39.2976,-94.7139
MCK,Mc Cook Ben Nelson Regional Airport,McCook,40.2063,-100.592
MCL,McKinley National Park Airport,McKinley Park,63.7326,-148.911
MCN,Middle Georgia Regional Airport,Macon,32.6928,-83.6492
MCO,Orlando International Airport,Orlando,28.4294,-81.309
MCW,Mason City Municipal Airport,Mason City,43.1578,-93.3313
MDH,Southern Illinois Airport,Carbondale/Murphysboro,37.7781,-89.252
MDT,Harrisburg International Airport,Harrisburg,40.1935,-76.7634
MDW,Chicago Midway International Airport,Chicago,41.786,-87.7524
MEI,Key Field,Meridian,32.3326,-88.7519
MEM,Memphis International Airport,Memphis,35.0424,-89.9767
MEO,Dare County Regional Airport,Manteo,35.919,-75.6955
MER,Castle Airport,Merced,37.3805,-120.568
MFD,Mansfield Lahm Regional Airport,Mansfield,40.8214,-82.5166
MFE,Mc Allen Miller International Airport,Mcallen,26.1758,-98.2386
MFI,Marshfield Municipal Airport,Marshfield,44.6369,-90.1893
MFR,Rogue Valley International Medford Airport,Medford,42.3742,-122.873
MGC,Michigan City Municipal Airport,Michigan City,41.7033,-86.8212
MGE,Dobbins Air Reserve Base,Marietta,33.9154,-84.5163
MGJ,Orange County Airport,Montgomery,41.51,-74.2646
MGM,Montgomery Regional (Dannelly Field) Airport,MONTGOMERY,32.3006,-86.394
MGW,Morgantown Municipal Walter L. Bill Hart Field,Morgantown,39.6429,-79.9163
MGY,Dayton-Wright Brothers Airport,Dayton,39.589,-84.2249
MHE,Mitchell Municipal Airport,Mitchell,43.7748,-98.0386
MHK,Manhattan Regional Airport,Manhattan,39.141,-96.6708
MHR,Sacramento Mather Airport,Sacramento,38.5539,-121.298
MHT,Manchester-Boston Regional Airport,Manchester NH,42.9326,-71.4357
MHV,Mojave Airport,Mojave,35.0594,-118.152
MIA,Miami International Airport,Miami,25.7932,-80.2906
MIB,Minot Air Force Base,Minot,48.4156,-101.358
MIE,Delaware County Johnson Field,Muncie,40.2423,-85.3959
MIV,Millville Municipal Airport,Millville,39.3678,-75.0722
MKC,Charles B. Wheeler Downtown Airport,Kansas City,39.1232,-94.5928
MKE,General Mitchell International Airport,Milwaukee,42.9472,-87.8966
MKG,Muskegon County Airport,Muskegon,43.1695,-86.2382
MKK,Molokai Airport,Molokai,21.1529,-157.09599
MKL,McKellar-Sipes Regional Airport,Jackson,35.5999,-88.9156
MLB,Melbourne International Airport,Melbourne,28.1028,-80.6453
MLC,Mc Alester Regional Airport,Mcalester,34.8824,-95.7835
MLI,Quad City International Airport,Moline,41.4485,-90.5075
MLL,Marshall Don Hunter Sr Airport,Marshall,61.8643,-162.026
MLS,Frank Wiley Field,Miles City,46.428,-105.886
MLU,Monroe Regional Airport,Monroe,32.5109,-92.0377
MLY,Manley Hot Springs Airport,Manley Hot Springs,64.9976,-150.644
MMH,Mammoth Yosemite Airport,Mammoth Lakes,37.6241,-118.838
MMI,McMinn County Airport,Athens,35.3973,-84.5626
MMT,Mc Entire Joint National Guard Base,Eastover,33.9208,-80.8013
MMU,Morristown Municipal Airport,Morristown,40.7994,-74.4149
MNM,Menominee Regional Airport,Macon,45.1267,-87.6384
MNZ,Manassas Regional Airport/Harry P. Davis Field,Manassas,38.7214,-77.5154
MOB,Mobile Regional Airport,Mobile,30.6912,-88.2428
MOD,Modesto City Co-Harry Sham Field,Modesto,37.6258,-120.954
MOT,Minot International Airport,Minot,48.2594,-101.28
MOU,Mountain Village Airport,Mountain Village,62.0954,-163.68201
MPO,Pocono Mountains Municipal Airport,Mount Pocono,41.1375,-75.3789
MPV,Edward F Knapp State Airport,Montpelier,44.2035,-72.5623
MQT,Sawyer International Airport,Gwinn,46.3536,-87.3954
MQY,Smyrna Airport,Smyrna,36.009,-86.5201
MRB,Eastern WV Regional Airport/Shepherd Field,Martinsburg,39.4019,-77.9846
MRF,Marfa Municipal Airport,Marfa,30.3711,-104.018
MRI,Merrill Field,Anchorage,61.2135,-149.84399
MRK,Marco Island Executive Airport,Marco Island Airport,25.995,-81.6725
MRN,Foothills Regional Airport,Morganton,35.8202,-81.6114
MRY,Monterey Peninsula Airport,Monterey,36.587,-121.843
MSC,Falcon Field,Mesa,33.4608,-111.728
MSL,Northwest Alabama Regional Airport,Muscle Shoals,34.7453,-87.6102
MSN,Dane County Regional Truax Field,Madison,43.1399,-89.3375
MSO,Missoula International Airport,Missoula,46.9163,-114.091
MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,44.882,-93.2218
MSS,Massena International Richards Field,Massena,44.9358,-74.8456
MSY,Louis Armstrong New Orleans International Airport,New Orleans,29.9934,-90.258
MTC,Selfridge Air National Guard Base Airport,Mount Clemens,42.61346,-82.83692
MTH,The Florida Keys Marathon Airport,Marathon,24.7261,-81.0514
MTJ,Montrose Regional Airport,Montrose CO,38.5098,-107.894
MTM,Metlakatla Seaplane Base,Metakatla,55.131,-131.578
MTN,Martin State Airport,Baltimore,39.3257,-76.4138
MTP,Montauk Airport,Montauk,41.0765,-71.9208
MUE,Waimea Kohala Airport,Kamuela,20.0013,-155.668
MUI,Muir Army Air Field (Fort Indiantown Gap) Airport,Muir,40.4348,-76.5694
MUO,Mountain Home Air Force Base,Mountain Home,43.0436,-115.872
MVL,Morrisville Stowe State Airport,Morrisville,44.5346,-72.614
MVW,Skagit Regional Airport,Skagit,48.4709,-122.421
MVY,Martha's Vineyard Airport,Vineyard Haven MA,41.3931,-70.6143
MWA,Williamson County Regional Airport,Marion,37.755,-89.0111
MWC,Lawrence J Timmerman Airport,Milwaukee,43.1104,-88.0344
MWH,Grant County International Airport,Grant County Airport,47.2077,-119.32
MWL,Mineral Wells Airport,Mineral Wells,32.7816,-98.0602
MXF,Maxwell Air Force Base,Montgomery,32.3829,-86.3658
MYL,McCall Municipal Airport,McCall,44.8897,-116.101
MYR,Myrtle Beach International Airport,Myrtle Beach,33.6797,-78.9283
MYU,Mekoryuk Airport,Mekoryuk,60.3714,-166.271
MYV,Yuba County Airport,Yuba City,39.0978,-121.57
MZJ,Pinal Airpark,Marana,32.5106,-111.328
NBG,New Orleans NAS JRB/Alvin Callender Field,New Orleans,29.8253,-90.035
NCN,Chenega Bay Airport,Chenega,60.0773,-147.992
NCO,Quonset State Airport,North Kingstown,41.5971,-71.4121
NEL,Lakehurst Maxfield Field Airport,Lakehurst,40.0333,-74.3533
NEW,Lakefront Airport,New Orleans,30.0424,-90.0283
NFL,Fallon Naval Air Station,Fallon,39.4166,-118.701
NGF,Kaneohe Bay MCAS (Marion E. Carl Field) Airport,Kaneohe Bay,21.4505,-157.76801
NGU,Norfolk Naval Station (Chambers Field),Norfolk,36.9376,-76.2893
NGZ,Alameda Naval Air Station,Alameda,37.7889,-122.32
NHK,Patuxent River Naval Air Station (Trapnell Field),Patuxent River,38.286,-76.4118
NHZ,Brunswick Executive Airport,Brunswick,43.8922,-69.9386
NIB,Nikolai Airport,Nikolai,63.0186,-154.358
NIP,Jacksonville Naval Air Station (Towers Field),Jacksonville,30.2358,-81.6806
NJK,El Centro NAF Airport (Vraciu Field),El Centro,32.8292,-115.672
NKX,Miramar Marine Corps Air Station - Mitscher Field,Miramar,32.8684,-117.143
NLC,Lemoore Naval Air Station (Reeves Field) Airport,Lemoore,36.333,-119.952
NLG,Nelson Lagoon Airport,Nelson Lagoon,56.0075,-161.16
NME,Nightmute Airport,Nightmute,60.471,-164.701
NNL,Nondalton Airport,Nondalton,59.9802,-154.839
NOT,Marin County Airport - Gnoss Field,Novato,38.1436,-122.556
NPA,Pensacola Naval Air Station/Forrest Sherman Field,Pensacola,30.3527,-87.3186
NQA,Millington-Memphis Airport,Millington,35.3567,-89.8703
NQI,Kingsville Naval Air Station,Kingsville,27.5072,-97.8097
NQX,Naval Air Station Key West/Boca Chica Field,Key West,24.5758,-81.6889
NRB,Naval Station Mayport (Admiral David L. Mcdonald Field),Mayport,30.3911,-81.4247
NSE,Whiting Field Naval Air Station - North,Milton,30.7242,-87.0219
NTD,Point Mugu Naval Air Station (Naval Base Ventura Co),Point Mugu,34.1203,-119.121
NTU,Oceana Naval Air Station,Oceana,36.8207,-76.0335
NUI,Nuiqsut Airport,Nuiqsut,70.21,-151.006
NUL,Nulato Airport,Nulato,64.7293,-158.074
NUQ,Moffett Federal Airfield,Mountain View,37.4161,-122.049
NUW,Whidbey Island Naval Air Station (Ault Field),Whidbey Island,48.3518,-122.656
NXX,Willow Grove Naval Air Station/Joint Reserve Base,Willow Grove,40.1998,-75.1482
NZJ,El Toro Marine Corps Air Station,Santa Ana,33.6761,-117.731
NZY,North Island Naval Air Station-Halsey Field,San Diego,32.6992,-117.215
OAJ,Albert J Ellis Airport,Jacksonville NC,34.8292,-77.6121
OAK,Metropolitan Oakland International Airport,Oakland,37.7213,-122.221
OAR,Marina Municipal Airport,Fort Ord,36.6819,-121.762
OBE,Okeechobee County Airport,Okeechobee,27.2628,-80.8498
OBU,Kobuk Airport,Kobuk,66.9123,-156.897
OCA,Ocean Reef Club Airport,Ocean Reef Club Airport,25.3254,-80.2748
OCF,Ocala International Airport - Jim Taylor Field,Ocala,29.1726,-82.2242
OCW,Warren Field,Washington,35.5705,-77.0498
OEL,Oryol Yuzhny Airport,Oakley,52.9347,36.0022
OFF,Offutt Air Force Base,Omaha,41.1183,-95.9125
OFK,Karl Stefan Memorial Airport,Norfolk  Nebraska,41.9855,-97.4351
OGB,Orangeburg Municipal Airport,Orangeburg,33.4568,-80.8595
OGD,Ogden Hinckley Airport,Ogden,41.1959,-112.012
OGG,Kahului Airport,Kahului,20.8986,-156.42999
OGS,Ogdensburg International Airport,Ogdensburg,44.6819,-75.4655
OJC,Johnson County Executive Airport,Olathe,38.8476,-94.7376
OKC,Will Rogers World Airport,Oklahoma City,35.3931,-97.6007
OKK,Kokomo Municipal Airport,Kokomo,40.5282,-86.059
OKM,Okmulgee Regional Airport,Okmulgee,35.6681,-95.9487
OLF,L M Clayton Airport,Wolf Point,48.0945,-105.575
OLM,Olympia Regional Airport,Olympia,46.9694,-122.903
OLS,Nogales International Airport,Nogales,31.4177,-110.848
OLV,Olive Branch Airport,Olive Branch,34.9787,-89.7869
OMA,Eppley Airfield,Omaha,41.3032,-95.8941
OME,Nome Airport,Nome,64.5122,-165.44501
ONO,Ontario Municipal Airport,Ontario,44.0205,-117.014
ONP,Newport Municipal Airport,Newport,44.5804,-124.058
ONT,Ontario International Airport,Ontario,34.056,-117.601
OOK,Toksook Bay Airport,Toksook Bay,60.5414,-165.08701
OPF,Opa-locka Executive Airport,Miami,25.907,-80.2784
ORD,Chicago O'Hare International Airport,Chicago,41.9786,-87.9048
ORF,Norfolk International Airport,Norfolk,36.8946,-76.2012
ORH,Worcester Regional Airport,Worcester,42.2673,-71.8757
ORL,Orlando Executive Airport,Orlando,28.5455,-81.3329
ORT,Northway Airport,Northway,62.9613,-141.929
ORV,Robert (Bob) Curtis Memorial Airport,Noorvik,66.8179,-161.019
OSC,Oscoda Wurtsmith Airport,Oscoda,44.4516,-83.3941
OSH,Wittman Regional Airport,Oshkosh,43.9844,-88.557
OSU,The Ohio State University Airport - Don Scott Field,Columbus,40.0798,-83.073
OTH,Southwest Oregon Regional Airport,North Bend,43.4171,-124.246
OTK,Tillamook Airport,Tillamook,45.4182,-123.814
OTM,Ottumwa Regional Airport,Ottumwa,41.1066,-92.4479
OTZ,Ralph Wien Memorial Airport,Kotzebue,66.8847,-162.599
OWB,Owensboro Daviess County Airport,Owensboro,37.7401,-87.1668
OWD,Norwood Memorial Airport,Norwood,42.1905,-71.1729
OXC,Waterbury Oxford Airport,Oxford,41.4786,-73.1352
OXR,Oxnard Airport,Oxnard,34.2008,-119.207
OZA,Ozona Municipal Airport,Ozona,30.7353,-101.203
OZR,Cairns AAF (Fort Rucker) Air Field,Fort Rucker/Ozark,31.2757,-85.7134
PAE,Snohomish County (Paine Field) Airport,Everett,47.9063,-122.282
PAH,Barkley Regional Airport,PADUCAH,37.0608,-88.7738
PAM,Tyndall Air Force Base,Panama City,30.0696,-85.5754
PAO,Palo Alto Airport of Santa Clara County,Palo Alto,37.4611,-122.115
PAQ,"Warren ""Bud"" Woods Palmer Municipal Airport",Palmer,61.5949,-149.08901
PBF,"Pine Bluff Regional Airport, Grider Field",Pine Bluff,34.1731,-91.9356
PBG,Plattsburgh International Airport,Plattsburgh,44.6509,-73.4681
PBI,Palm Beach International Airport,West Palm Beach,26.6832,-80.0956
PCD,Prairie Du Chien Municipal Airport,Prairie du Chien,43.0193,-91.1237
PDK,DeKalb Peachtree Airport,Atlanta,33.8756,-84.302
PDT,Eastern Oregon Regional At Pendleton Airport,Pendleton,45.6951,-118.841
PDX,Portland International Airport,Portland,45.5887,-122.598
PEQ,Pecos Municipal Airport,Pecos,31.3824,-103.511
PFN,Panama City-Bay Co International Airport,Panama City,30.2121,-85.6828
PGA,Page Municipal Airport,Page,36.9261,-111.448
PGD,Charlotte County Airport,Punta Gorda,26.9202,-81.9905
PGV,Pitt Greenville Airport,Greenville,35.6352,-77.3853
PHD,Harry Clever Field,New Philadelpha,40.4709,-81.4197
PHF,Newport News Williamsburg International Airport,Newport News,37.1319,-76.493
PHK,Palm Beach County Glades Airport,Pahokee,26.785,-80.6934
PHL,Philadelphia International Airport,Philadelphia,39.8719,-75.2411
PHN,St Clair County International Airport,Port Huron,42.911,-82.5289
PHX,Phoenix Sky Harbor International Airport,Phoenix,33.4343,-112.012
PIA,General Wayne A. Downing Peoria International Airport,Peoria,40.6642,-89.6933
PIB,Hattiesburg Laurel Regional Airport,Hattiesburg/Laurel,31.4671,-89.3371
PIE,St Petersburg Clearwater International Airport,St. Petersburg,27.9102,-82.6874
PIH,Pocatello Regional Airport,Pocatello,42.9098,-112.596
PIM,Harris County Airport,Pine Mountain,32.8407,-84.8824
PIP,Pilot Point Airport,Pilot Point,57.5804,-157.57201
PIR,Pierre Regional Airport,Pierre,44.3827,-100.286
PIT,Pittsburgh International Airport,Pittsburgh,40.4915,-80.2329
PIZ,Point Lay LRRS Airport,Point Lay,69.7329,-163.005
PKA,Napaskiak Airport,Napaskiak,60.7029,-161.778
PKB,Mid Ohio Valley Regional Airport,PARKERSBURG,39.3451,-81.4392
PLN,Pellston Regional Airport of Emmet County Airport,Pellston,45.5709,-84.7967
PMB,Pembina Municipal Airport,Pembina,48.9425,-97.2408
PMD,Palmdale Regional/USAF Plant 42 Airport,Palmdale,34.6294,-118.085
PMH,Greater Portsmouth Regional Airport,Portsmouth,38.8405,-82.8473
PML,Port Moller Airport,Cold Bay,56.006,-160.561
PNC,Ponca City Regional Airport,Ponca City,36.732,-97.0998
PNE,Northeast Philadelphia Airport,Philadelphia,40.0819,-75.0106
PNS,Pensacola Regional Airport,Pensacola,30.4734,-87.1866
POB,Pope Field,Fort Bragg,35.1709,-79.0145
POC,Brackett Field,La Verne,34.0916,-117.782
POE,Polk Army Air Field,Fort Polk,31.0448,-93.1917
POF,Poplar Bluff Municipal Airport,Poplar Bluff,36.7739,-90.3249
POU,Dutchess County Airport,Poughkeepsie,41.6266,-73.8842
PPA,Perry Lefors Field,Pampa,35.613,-100.996
PPC,Prospect Creek Airport,Prospect Creek,66.8141,-150.644
PPF,Tri-City Airport,Parsons,37.3299,-95.5062
PPM,Pompano Beach Airpark,Pompano Beach,26.2471,-80.1111
PQI,Northern Maine Regional Airport at Presque Isle,Presque Isle,46.689,-68.0448
PRB,Paso Robles Municipal Airport,Paso Robles,35.6729,-120.627
PRC,Ernest A. Love Field,Prescott,34.6545,-112.42
PRX,Cox Field,Paris,33.6366,-95.4508
PRZ,Prineville Airport,Prineville,44.287,-120.904
PSC,Tri Cities Airport,Pasco,46.2647,-119.119
PSG,Petersburg James A Johnson Airport,Petersburg,56.8017,-132.94501
PSM,Portsmouth International at Pease Airport,Portsmouth,43.0779,-70.8233
PSP,Palm Springs International Airport,Palm Springs,33.8297,-116.507
PSX,Palacios Municipal Airport,Palacios,28.7275,-96.251
PTA,Port Alsworth Airport,Port alsworth,60.20168,-154.32586
PTB,Dinwiddie County Airport,Petersburg,37.1838,-77.5074
PTH,Port Heiden Airport,Port Heiden,56.9591,-158.633
PTK,Oakland County International Airport,Pontiac,42.6655,-83.4201
PTT,Pratt Regional Airport,Pratt,37.7016,-98.7469
PTU,Platinum Airport,Port Moller,59.0114,-161.82001
PUB,Pueblo Memorial Airport,Pueblo,38.2891,-104.497
PUC,Carbon County Regional/Buck Davis Field,Price,39.6139,-110.751
PUW,Pullman Moscow Regional Airport,Pullman,46.7439,-117.11
PVC,Provincetown Municipal Airport,Provincetown,42.0719,-70.2214
PVD,Theodore Francis Green State Airport,Providence,41.7326,-71.4204
PVL,Pike County-Hatcher Field,Pikeville,37.5618,-82.5664
PVU,Provo Municipal Airport,Provo,40.2192,-111.723
PWA,Wiley Post Airport,Oklahoma City,35.5342,-97.6471
PWK,Chicago Executive Airport,Chicago-Wheeling,42.11422,-87.90149
PWM,Portland International Jetport Airport,Portland,43.6462,-70.3093
PWT,Bremerton National Airport,Bremerton,47.4902,-122.765
PWY,Ralph Wenz Field,Pinedale,42.7955,-109.807
PYM,Plymouth Municipal Airport,Plymouth,41.909,-70.7288
RAC,John H Batten Airport,Racine,42.7606,-87.8152
RAL,Riverside Municipal Airport,Riverside,33.9519,-117.445
RAP,Rapid City Regional Airport,Rapid City,44.0453,-103.057
RBD,Dallas Executive Airport,Dallas,32.6809,-96.8682
RBK,French Valley Airport,Murrieta-Temecula,33.5742,-117.128
RBL,Red Bluff Municipal Airport,Red Bluff,40.1507,-122.252
RBY,Ruby Airport,Ruby,64.7272,-155.47
RCA,Ellsworth Air Force Base,Rapid City,44.145,-103.104
RDB,Red Dog Airport,Red Dog,68.0321,-162.899
RDD,Redding Municipal Airport,Redding,40.509,-122.293
RDG,Reading Regional Carl A Spaatz Field,Reading,40.3785,-75.9652
RDM,Roberts Field,Redmond-Bend,44.2541,-121.15
RDR,Grand Forks Air Force Base,Red River,47.9611,-97.4012
RDU,Raleigh Durham International Airport,Raleigh-durham,35.8776,-78.7875
RFD,Chicago Rockford International Airport,Rockford,42.1954,-89.0972
